CustomerID,Gender,SeniorCitizen,Partner,Dependents,Age,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,NumServices,MonthlyCharges,TotalCharges,Churn
CUST-00017,Female,0,Yes,No,68,58,Yes,No,Fiber optic,Yes,Yes,No,One year,Yes,Credit card,6,34.05,2024.29,0
CUST-00018,Female,0,No,Yes,40,22,Yes,No,DSL,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,5,82.25,1770.72,0
CUST-00019,Male,0,Yes,Yes,60,49,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,One year,Yes,Credit card,6,40.78,1959.23,0
CUST-00020,Female,1,No,No,60,59,Yes,No phone service,No,No,Yes,Yes,One year,No,Credit card,3,70.41,4203.79,0
CUST-00021,Male,0,Yes,No,40,42,Yes,No,No,Yes,No,Yes,One year,No,Credit card,2,74.49,3034.43,0
CUST-00022,Female,0,No,Yes,49,60,Yes,No phone service,DSL,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer,6,48.35,2824.82,0
CUST-00023,Male,0,Yes,Yes,47,15,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,3,114.84,1721.69,1
CUST-00024,Male,0,Yes,Yes,30,62,Yes,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,2,104.25,6478.16,0
CUST-00025,Female,0,Yes,No,60,62,Yes,No phone service,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,4,92.24,5743.12,0
CUST-00026,Female,0,Yes,No,35,47,Yes,Yes,DSL,No internet service,No,No internet service,One year,No,Mailed check,3,27.8,1291.51,0
CUST-00027,Female,0,Yes,No,40,62,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,One year,No,Bank transfer,1,30.61,2024.34,0
CUST-00028,Male,0,Yes,No,32,51,Yes,Yes,Fiber optic,No,No internet service,No internet service,Two year,No,Mailed check,1,69.28,3521.89,0
CUST-00029,Female,0,No,No,50,55,Yes,Yes,DSL,No,No,No internet service,Month-to-month,No,Bank transfer,3,36.07,1972.31,0
CUST-00030,Female,0,Yes,No,38,64,Yes,Yes,DSL,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,2,117.83,7501.27,1
CUST-00031,Female,0,No,Yes,74,3,Yes,Yes,DSL,Yes,Yes,Yes,One year,No,Electronic check,5,35.85,113.75,0
CUST-00032,Male,1,Yes,Yes,56,51,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Electronic check,4,68.75,3537.0,0
CUST-00033,Female,1,Yes,Yes,40,7,Yes,No phone service,Fiber optic,No,Yes,No internet service,Month-to-month,No,Mailed check,3,56.41,455.05,1
CUST-00034,Female,1,Yes,No,44,21,Yes,No,DSL,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,6,83.94,1688.28,0
CUST-00035,Male,0,Yes,No,62,39,Yes,No phone service,DSL,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,4,32.9,1270.8,0
CUST-00036,Female,0,No,Yes,61,18,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,2,63.03,1156.88,0
CUST-00037,Male,0,Yes,Yes,35,4,Yes,No phone service,DSL,No internet service,No,No internet service,Month-to-month,No,Bank transfer,1,47.47,219.23,0
CUST-00038,Male,0,Yes,No,41,60,Yes,No,Fiber optic,No,Yes,No,One year,Yes,Electronic check,2,108.78,6527.13,0
CUST-00039,Male,0,Yes,No,68,14,Yes,No,No,No,No,Yes,Two year,No,Mailed check,2,24.06,363.96,0
CUST-00040,Male,1,No,No,64,9,Yes,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,3,111.37,961.88,0
CUST-00041,Male,0,No,Yes,57,53,Yes,No,Fiber optic,Yes,Yes,Yes,Two year,Yes,Credit card,4,103.3,5552.8,0
CUST-00042,Male,0,Yes,No,68,2,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Mailed check,5,49.76,149.15,0
CUST-00043,Male,0,Yes,No,59,60,Yes,Yes,DSL,Yes,No,Yes,Two year,Yes,Credit card,4,98.93,5868.55,0
CUST-00044,Male,0,Yes,No,24,71,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,5,23.12,1587.76,1
CUST-00045,Male,0,Yes,No,67,44,Yes,No phone service,Fiber optic,No,No internet service,No internet service,One year,Yes,Electronic check,1,116.69,5082.01,1
CUST-00046,Male,0,No,Yes,65,8,Yes,No,DSL,Yes,No internet service,No,Month-to-month,Yes,Electronic check,4,72.66,615.18,1
CUST-00047,Male,1,No,Yes,37,47,Yes,Yes,Fiber optic,Yes,Yes,No,One year,Yes,Electronic check,5,50.33,2301.27,0
CUST-00048,Male,0,No,No,44,35,Yes,Yes,No,Yes,No,No internet service,One year,No,Credit card,4,56.26,1952.55,0
CUST-00049,Male,0,No,No,23,36,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Electronic check,2,26.64,981.78,1
CUST-00050,Male,0,No,No,44,50,Yes,No,Fiber optic,Yes,No,Yes,Two year,No,Credit card,1,118.93,5943.19,0
CUST-00051,Female,0,No,No,26,4,Yes,No,Fiber optic,Yes,Yes,No internet service,Month-to-month,No,Credit card,4,23.93,108.66,0
CUST-00052,Male,0,Yes,No,70,2,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card,6,85.49,117.69,0
CUST-00053,Female,0,Yes,No,62,6,Yes,No phone service,No,No,No internet service,No internet service,One year,Yes,Electronic check,2,64.27,415.36,0
CUST-00054,Female,0,Yes,No,74,54,Yes,Yes,Fiber optic,No internet service,No,Yes,One year,No,Bank transfer,6,114.89,6173.4,0
CUST-00055,Female,0,No,No,48,4,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Credit card,2,44.6,162.17,1
CUST-00056,Female,0,Yes,Yes,38,54,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer,1,73.21,3965.23,0
CUST-00057,Female,0,No,Yes,43,63,Yes,No,Fiber optic,No,No internet service,No internet service,Two year,No,Credit card,4,68.24,4304.27,0
CUST-00058,Female,1,Yes,No,57,18,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,One year,No,Electronic check,6,90.29,1626.42,0
CUST-00059,Male,0,No,Yes,65,44,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,Electronic check,3,26.8,1141.67,0
CUST-00060,Female,0,Yes,Yes,62,34,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3,39.38,1323.94,0
CUST-00061,Male,1,Yes,Yes,30,62,Yes,No,Fiber optic,No internet service,No,Yes,Two year,Yes,Mailed check,6,41.46,2570.63,0
CUST-00062,Male,0,No,Yes,66,14,Yes,Yes,Fiber optic,No,No,Yes,One year,No,Electronic check,3,93.82,1244.73,0
CUST-00063,Female,0,Yes,No,40,48,Yes,No,Fiber optic,No,No internet service,Yes,Two year,Yes,Bank transfer,2,38.91,1844.55,0
CUST-00064,Male,0,No,No,37,15,No,No,DSL,No internet service,No,No,Month-to-month,Yes,Credit card,4,77.35,1179.63,0
CUST-00065,Male,0,Yes,No,54,62,Yes,No phone service,Fiber optic,No internet service,No,Yes,One year,Yes,Bank transfer,5,41.52,2510.37,0
CUST-00066,Female,0,Yes,No,71,40,Yes,No phone service,Fiber optic,Yes,Yes,No,One year,No,Mailed check,4,106.16,4304.23,0
CUST-00067,Male,0,Yes,Yes,70,53,Yes,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,1,114.22,6117.14,0
CUST-00068,Female,0,Yes,Yes,45,24,Yes,Yes,Fiber optic,No,No internet service,No internet service,One year,Yes,Credit card,5,71.85,1662.14,0
CUST-00069,Female,0,Yes,Yes,34,26,No,No phone service,No,Yes,Yes,No,One year,Yes,Credit card,1,55.23,1503.86,0
CUST-00070,Female,1,No,Yes,45,60,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,6,43.41,2597.42,0
CUST-00071,Female,0,No,No,58,41,Yes,No,DSL,No internet service,Yes,Yes,Two year,No,Mailed check,6,24.98,1045.11,0
CUST-00072,Female,0,No,No,19,29,Yes,No phone service,DSL,No,Yes,No,Two year,No,Mailed check,4,46.85,1333.82,0
CUST-00073,Male,0,Yes,No,42,15,Yes,No phone service,DSL,No internet service,No,No,Two year,No,Bank transfer,1,85.42,1327.45,0
CUST-00074,Female,0,No,Yes,67,45,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,2,73.36,3321.5,0
CUST-00075,Female,0,No,No,58,65,Yes,Yes,DSL,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,3,114.4,7395.29,0
CUST-00076,Male,0,Yes,No,23,71,Yes,No phone service,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,4,59.63,4175.47,0
CUST-00077,Female,0,Yes,No,28,9,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Credit card,5,89.39,731.49,0
CUST-00078,Female,0,Yes,Yes,74,1,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,5,68.93,78.33,0
CUST-00079,Female,0,No,No,55,8,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Bank transfer,1,71.26,598.7,1
CUST-00080,Female,0,No,No,23,63,Yes,No,DSL,Yes,No internet service,No,Month-to-month,No,Bank transfer,3,46.78,2979.69,0
CUST-00081,Female,0,Yes,No,62,11,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,6,65.5,714.6,0
CUST-00082,Female,0,No,No,28,8,Yes,Yes,DSL,No,Yes,Yes,One year,No,Electronic check,4,67.08,478.79,0
CUST-00083,Female,0,No,Yes,31,35,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,2,90.66,3139.0,0
CUST-00084,Male,0,No,No,19,35,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,1,114.06,4049.72,1
CUST-00085,Female,0,No,Yes,57,33,Yes,No,Fiber optic,No internet service,Yes,No internet service,Two year,Yes,Credit card,4,52.93,1722.46,0
CUST-00086,Male,0,Yes,No,20,5,No,No,Fiber optic,No internet service,No,Yes,One year,No,Credit card,4,24.22,128.27,0
CUST-00087,Female,0,Yes,No,72,41,Yes,No,Fiber optic,No,No,No internet service,One year,No,Credit card,6,69.63,2801.05,0
CUST-00088,Female,0,Yes,No,70,28,Yes,No phone service,No,Yes,No internet service,No,One year,Yes,Bank transfer,3,74.45,2101.43,0
CUST-00089,Female,0,No,No,52,7,Yes,No phone service,DSL,No,No internet service,No,Two year,No,Bank transfer,5,36.84,235.0,0
CUST-00090,Male,0,Yes,No,50,12,Yes,Yes,Fiber optic,Yes,No internet service,Yes,One year,No,Mailed check,6,96.05,1204.94,0
CUST-00091,Male,0,Yes,Yes,41,34,Yes,No phone service,No,Yes,No,No,One year,No,Credit card,3,118.49,4067.34,0
CUST-00092,Male,1,No,No,36,33,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Two year,No,Bank transfer,1,114.58,3756.35,1
CUST-00093,Female,0,Yes,No,35,48,Yes,No phone service,Fiber optic,No internet service,Yes,No,Month-to-month,No,Credit card,1,39.71,1899.75,0
CUST-00094,Female,0,No,No,66,23,Yes,No phone service,DSL,Yes,Yes,Yes,Two year,No,Credit card,6,107.54,2445.86,0
CUST-00095,Male,0,Yes,Yes,69,62,Yes,No phone service,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,3,90.45,5536.93,1
CUST-00096,Male,1,No,Yes,41,37,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Mailed check,4,65.38,2376.19,0
CUST-00097,Female,0,Yes,No,62,44,Yes,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,No,Bank transfer,5,74.06,3268.55,1
CUST-00098,Female,0,Yes,Yes,52,35,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,1,104.96,3689.86,1
CUST-00099,Female,0,Yes,No,18,65,Yes,Yes,Fiber optic,Yes,No internet service,Yes,One year,Yes,Credit card,3,68.01,4428.08,0
CUST-00100,Male,0,No,Yes,53,47,Yes,No,DSL,No,No,No,Two year,Yes,Mailed check,1,57.32,2678.95,0
CUST-00101,Male,0,No,No,42,3,Yes,Yes,DSL,Yes,No internet service,No internet service,Two year,Yes,Credit card,5,69.32,254.61,0
CUST-00102,Female,1,Yes,Yes,62,1,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,No,Credit card,6,77.91,81.09,0
CUST-00103,Female,0,No,Yes,66,5,Yes,No phone service,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,2,38.91,229.71,1
CUST-00104,Female,0,No,Yes,60,14,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Bank transfer,2,110.09,1452.57,0
CUST-00105,Male,1,No,Yes,51,27,Yes,No phone service,Fiber optic,No,No,No internet service,Month-to-month,No,Bank transfer,6,87.42,2164.22,0
CUST-00106,Female,0,Yes,Yes,42,9,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card,4,83.33,764.16,0
CUST-00107,Male,0,Yes,Yes,33,15,Yes,No,Fiber optic,Yes,Yes,No internet service,Month-to-month,No,Mailed check,4,29.95,378.01,1
CUST-00108,Male,1,Yes,Yes,51,42,No,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,2,80.42,3367.02,1
CUST-00109,Male,1,No,Yes,46,51,No,No phone service,DSL,Yes,No,Yes,Two year,No,Bank transfer,5,32.1,1622.0,0
CUST-00110,Female,0,Yes,No,36,63,Yes,No phone service,Fiber optic,Yes,No,Yes,Two year,Yes,Mailed check,3,27.87,1835.18,0
CUST-00111,Female,0,Yes,No,40,52,Yes,No phone service,No,Yes,No,No internet service,One year,No,Mailed check,3,72.73,3801.96,0
CUST-00112,Male,0,Yes,No,36,4,Yes,No phone service,DSL,No,No internet service,Yes,One year,Yes,Bank transfer,6,60.28,249.41,0
CUST-00113,Male,0,Yes,No,42,23,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card,5,78.88,1856.09,1
CUST-00114,Female,0,Yes,No,33,15,No,No phone service,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,3,28.92,452.22,0
CUST-00115,Male,0,Yes,No,71,43,Yes,No phone service,Fiber optic,No internet service,Yes,No,One year,No,Bank transfer,4,63.1,2690.42,0
CUST-00116,Female,0,No,Yes,68,29,Yes,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,3,37.48,1140.49,0
CUST-00117,Female,0,Yes,Yes,26,36,No,No phone service,DSL,No,No,No,Month-to-month,Yes,Credit card,6,118.71,4218.07,1
CUST-00118,Female,1,Yes,Yes,18,13,Yes,No,DSL,No internet service,No,No,Month-to-month,Yes,Mailed check,3,76.12,1005.72,0
CUST-00119,Female,0,Yes,No,59,32,Yes,No,DSL,No,Yes,No,One year,Yes,Electronic check,4,88.74,2762.3,0
CUST-00120,Male,0,No,Yes,36,71,Yes,No phone service,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,6,52.54,3740.54,1
CUST-00121,Female,0,Yes,Yes,50,59,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,1,29.47,1748.38,0
CUST-00122,Male,0,No,Yes,51,28,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Electronic check,6,117.59,3376.34,1
CUST-00123,Male,0,No,Yes,33,66,No,Yes,Fiber optic,No internet service,No internet service,Yes,One year,Yes,Credit card,2,48.63,3131.33,0
CUST-00124,Male,1,No,No,61,42,No,No,DSL,No internet service,No,Yes,One year,No,Credit card,3,62.38,2589.92,0
CUST-00125,Female,1,Yes,Yes,57,45,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Credit card,2,84.99,3865.68,1
CUST-00126,Female,0,No,Yes,72,62,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer,2,22.47,1409.91,0
CUST-00127,Male,0,Yes,No,35,57,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Electronic check,5,101.03,5767.73,1
CUST-00128,Female,0,Yes,No,51,6,Yes,No phone service,Fiber optic,No,No internet service,Yes,Month-to-month,No,Mailed check,5,73.66,394.15,0
CUST-00129,Female,0,No,No,42,28,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,5,47.82,1309.42,1
CUST-00130,Female,0,No,Yes,62,28,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Electronic check,6,26.16,794.73,0
CUST-00131,Female,0,Yes,Yes,23,44,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,1,36.25,1592.42,0
CUST-00132,Female,0,Yes,Yes,38,30,No,No phone service,DSL,No,No,Yes,One year,Yes,Electronic check,1,109.5,3303.77,0
CUST-00133,Male,0,No,No,23,62,Yes,No phone service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,2,88.6,5487.44,1
CUST-00134,Female,0,Yes,Yes,49,62,Yes,No,DSL,No,Yes,No,Two year,No,Electronic check,2,44.99,2730.23,0
CUST-00135,Female,0,Yes,No,58,1,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Bank transfer,2,26.56,73.25,1
CUST-00136,Male,1,No,No,65,27,Yes,No phone service,DSL,Yes,No,No,One year,No,Electronic check,2,89.06,2429.78,0
CUST-00137,Female,0,Yes,No,60,62,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,4,77.24,4904.16,0
CUST-00138,Male,0,Yes,Yes,56,3,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card,2,60.45,130.57,0
CUST-00139,Male,0,Yes,No,48,70,Yes,No,DSL,Yes,Yes,No,Month-to-month,Yes,Electronic check,5,56.36,3986.33,0
CUST-00140,Female,1,Yes,No,59,27,Yes,No phone service,No,No,Yes,No internet service,Two year,No,Electronic check,2,41.68,1059.78,0
CUST-00141,Male,0,No,Yes,27,9,Yes,Yes,DSL,No internet service,No internet service,No internet service,Two year,Yes,Credit card,6,86.96,790.51,1
CUST-00142,Male,1,Yes,No,47,62,No,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Credit card,5,117.07,7307.17,1
CUST-00143,Female,1,No,No,74,37,Yes,No,Fiber optic,Yes,No internet service,No,Two year,Yes,Credit card,5,37.57,1286.48,0
CUST-00144,Male,0,No,Yes,69,51,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,2,79.71,4054.96,0
CUST-00145,Female,0,Yes,Yes,35,44,Yes,No,Fiber optic,No internet service,No,No internet service,Two year,Yes,Electronic check,2,62.42,2718.32,0
CUST-00146,Male,0,Yes,No,41,24,Yes,No,Fiber optic,No,Yes,No,Two year,Yes,Electronic check,3,64.67,1516.98,0
CUST-00147,Female,0,Yes,No,69,59,Yes,No,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,5,45.41,2698.45,0
CUST-00148,Male,0,Yes,Yes,26,32,Yes,No phone service,No,No internet service,No internet service,No,One year,Yes,Credit card,2,102.51,3336.35,0
CUST-00149,Female,0,No,No,48,52,Yes,No phone service,No,No internet service,No,Yes,Month-to-month,No,Bank transfer,6,68.53,3556.9,0
CUST-00150,Female,0,Yes,No,32,62,Yes,Yes,DSL,Yes,No,No,Month-to-month,No,Electronic check,6,74.34,4619.35,0
CUST-00151,Male,0,No,No,21,58,Yes,No phone service,DSL,No,No internet service,Yes,Month-to-month,Yes,Credit card,2,50.48,2933.56,0
CUST-00152,Male,0,Yes,No,57,52,Yes,No phone service,DSL,No internet service,Yes,Yes,Two year,No,Credit card,3,38.18,1985.45,0
CUST-00153,Female,0,Yes,Yes,26,12,Yes,No phone service,Fiber optic,No,No,No internet service,Two year,Yes,Credit card,4,28.59,288.61,0
CUST-00154,Male,0,No,No,62,39,Yes,Yes,DSL,No internet service,No,No,One year,No,Mailed check,5,91.41,3620.41,0
CUST-00155,Male,0,No,No,26,2,Yes,No phone service,DSL,No,Yes,Yes,Two year,No,Credit card,5,39.62,94.0,0
CUST-00156,Male,0,No,Yes,43,3,Yes,Yes,No,Yes,No internet service,No,Two year,Yes,Bank transfer,3,89.01,286.77,0
CUST-00157,Female,0,No,No,21,56,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,4,59.04,3265.91,0
CUST-00158,Female,1,No,No,34,59,No,No phone service,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Credit card,1,61.58,3610.26,1
CUST-00159,Female,0,Yes,No,33,2,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,6,66.92,125.03,0
CUST-00160,Male,0,No,No,32,2,Yes,No phone service,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer,6,56.77,36.83,1
CUST-00161,Male,0,No,Yes,52,54,Yes,No,Fiber optic,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,3,30.06,1538.84,1
CUST-00162,Male,0,Yes,Yes,74,1,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card,2,50.96,20.92,0
CUST-00163,Female,0,Yes,No,69,19,Yes,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Credit card,2,86.37,1667.16,0
CUST-00164,Female,0,No,Yes,22,2,Yes,No,DSL,No internet service,Yes,Yes,Two year,No,Electronic check,2,86.58,140.5,0
CUST-00165,Female,0,Yes,Yes,72,53,Yes,No,Fiber optic,No,No internet service,No internet service,One year,Yes,Bank transfer,1,48.62,2525.92,0
CUST-00166,Female,1,Yes,Yes,22,44,Yes,No phone service,No,No internet service,No,Yes,Two year,No,Credit card,2,66.01,2863.71,0
CUST-00167,Male,0,Yes,No,37,32,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,No,Electronic check,1,39.34,1236.11,1
CUST-00168,Male,0,Yes,No,32,70,Yes,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,3,41.04,2855.11,1
CUST-00169,Male,0,Yes,Yes,35,32,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,1,22.3,821.88,0
CUST-00170,Female,0,Yes,Yes,64,68,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,2,109.67,7510.29,0
CUST-00171,Male,0,No,Yes,19,55,Yes,No,Fiber optic,Yes,Yes,Yes,Two year,No,Credit card,5,41.07,2310.09,0
CUST-00172,Male,1,No,Yes,46,56,Yes,No phone service,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card,2,42.75,2452.43,0
CUST-00173,Female,0,Yes,Yes,30,17,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,No,Mailed check,6,47.96,765.38,1
CUST-00174,Female,1,No,Yes,21,38,Yes,Yes,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,1,32.74,1183.0,0
CUST-00175,Male,0,No,Yes,59,24,Yes,No,DSL,Yes,No internet service,No internet service,One year,Yes,Mailed check,6,83.93,1958.98,0
CUST-00176,Female,0,Yes,No,62,69,Yes,No,DSL,No internet service,No internet service,No internet service,Two year,No,Mailed check,1,27.51,1964.92,0
CUST-00177,Male,1,Yes,No,27,70,No,No,DSL,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,4,33.42,2312.04,0
CUST-00178,Male,0,Yes,No,48,11,No,No,DSL,No internet service,Yes,No,Two year,No,Electronic check,4,84.48,866.71,0
CUST-00179,Female,0,Yes,No,58,16,Yes,No phone service,DSL,No internet service,No,Yes,Month-to-month,Yes,Credit card,4,53.97,841.97,1
CUST-00180,Female,0,No,Yes,25,59,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,2,90.79,5344.68,0
CUST-00181,Male,0,Yes,No,20,70,No,No phone service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,1,75.74,5315.22,0
CUST-00182,Female,0,No,Yes,65,3,No,No,Fiber optic,No,Yes,Yes,One year,Yes,Mailed check,4,45.6,149.35,0
CUST-00183,Female,0,Yes,No,63,20,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,5,85.08,1660.19,0
CUST-00184,Male,0,No,No,26,59,Yes,No phone service,DSL,Yes,No,Yes,One year,Yes,Credit card,3,31.63,1900.45,0
CUST-00185,Male,0,Yes,Yes,47,36,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,3,73.64,2619.08,0
CUST-00186,Male,1,Yes,Yes,70,19,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Bank transfer,4,63.71,1202.68,1
CUST-00187,Female,0,Yes,No,28,67,Yes,No phone service,DSL,No,No internet service,Yes,One year,No,Bank transfer,4,46.79,3169.27,0
CUST-00188,Female,0,Yes,No,52,19,Yes,No phone service,DSL,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,4,80.4,1495.51,0
CUST-00189,Female,1,No,No,54,20,No,Yes,DSL,No internet service,No,No internet service,Month-to-month,No,Bank transfer,3,107.13,2114.13,0
